graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
hamming8-2.txt,256,31616,4,1889721,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,1920106,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,1868929,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,1171775,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,1159711,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,1181052,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,1174422,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,1945892,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,2521236,no,none,yes,0.968627,true
hamming8-2.txt,256,31616,4,1176906,no,none,yes,0.968627,true
