graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density
sanr200-0-9.txt,200,17863,4,11347734,no,none,yes,1
sanr200-0-9.txt,200,17863,4,12489521,no,none,yes,1
sanr200-0-9.txt,200,17863,4,11394124,no,none,yes,1
sanr200-0-9.txt,200,17863,4,11388004,no,none,yes,1
sanr200-0-9.txt,200,17863,4,11598010,no,none,yes,1
sanr200-0-9.txt,200,17863,4,11502686,no,none,yes,1
sanr200-0-9.txt,200,17863,4,11213448,no,none,yes,1
sanr200-0-9.txt,200,17863,4,12409854,no,none,yes,1
sanr200-0-9.txt,200,17863,4,18884349,no,none,yes,1
sanr200-0-9.txt,200,17863,4,10940339,no,none,yes,1
