graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
can___24.txt,24,68,12,103839,no,none,yes,0.246377,false
can___24.txt,24,68,10,94867,no,none,yes,0.246377,false
can___24.txt,24,68,11,93617,no,none,yes,0.246377,false
can___24.txt,24,68,12,91888,no,none,yes,0.246377,false
can___24.txt,24,68,10,90761,no,none,yes,0.246377,false
can___24.txt,24,68,9,130658,no,none,yes,0.246377,false
can___24.txt,24,68,10,94552,no,none,yes,0.246377,false
can___24.txt,24,68,9,120926,no,none,yes,0.246377,false
can___24.txt,24,68,9,118650,no,none,yes,0.246377,false
can___24.txt,24,68,11,96408,no,none,yes,0.246377,false
