graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
dwt__346.txt,346,1440,141,1757730,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,138,2506299,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,137,2465635,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,139,1852864,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,139,2038976,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,135,2625006,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,139,2019253,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,137,1777958,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,141,2244864,no,none,yes,0.0241267,false
dwt__346.txt,346,1440,139,1860296,no,none,yes,0.0241267,false
