graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
fidap012.txt,3973,38089,517,238612920,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,521,241461774,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,522,242440090,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,524,241565461,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,518,242130240,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,512,242289041,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,516,240577205,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,520,242605550,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,514,241279206,no,none,yes,0.00482727,false
fidap012.txt,3973,38089,525,241111361,no,none,yes,0.00482727,false
