graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
gre_216a.txt,216,660,88,1174154,no,none,yes,0.0284238,false
gre_216a.txt,216,660,90,1035977,no,none,yes,0.0284238,false
gre_216a.txt,216,660,84,1270175,no,none,yes,0.0284238,false
gre_216a.txt,216,660,91,984088,no,none,yes,0.0284238,false
gre_216a.txt,216,660,94,1246157,no,none,yes,0.0284238,false
gre_216a.txt,216,660,89,1168628,no,none,yes,0.0284238,false
gre_216a.txt,216,660,89,1334738,no,none,yes,0.0284238,false
gre_216a.txt,216,660,90,1329499,no,none,yes,0.0284238,false
gre_216a.txt,216,660,92,1149406,no,none,yes,0.0284238,false
gre_216a.txt,216,660,85,1138448,no,none,yes,0.0284238,false
