graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density
gre__185.txt,185,650,91,4638463,no,none,yes,1
gre__185.txt,185,650,85,4993957,no,none,yes,1
gre__185.txt,185,650,92,4748303,no,none,yes,1
gre__185.txt,185,650,90,4591201,no,none,yes,1
gre__185.txt,185,650,86,4577691,no,none,yes,1
gre__185.txt,185,650,90,4580058,no,none,yes,1
gre__185.txt,185,650,93,4093837,no,none,yes,1
gre__185.txt,185,650,91,4489693,no,none,yes,1
gre__185.txt,185,650,89,4438183,no,none,yes,1
gre__185.txt,185,650,86,4431281,no,none,yes,1
