graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
impcol_d.txt,425,1267,152,3189464,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,152,3266372,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,153,2755016,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,156,3285616,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,151,2604546,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,155,2346824,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,153,2477819,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,157,3159732,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,159,2442936,no,none,yes,0.0140622,false
impcol_d.txt,425,1267,151,3170490,no,none,yes,0.0140622,false
