graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
nos1.txt,237,390,161,1220229,no,none,yes,0.0139455,false
nos1.txt,237,390,159,1019807,no,none,yes,0.0139455,false
nos1.txt,237,390,159,1255134,no,none,yes,0.0139455,false
nos1.txt,237,390,159,1463114,no,none,yes,0.0139455,false
nos1.txt,237,390,161,1371935,no,none,yes,0.0139455,false
nos1.txt,237,390,159,1481938,no,none,yes,0.0139455,false
nos1.txt,237,390,159,1481409,no,none,yes,0.0139455,false
nos1.txt,237,390,161,1394123,no,none,yes,0.0139455,false
nos1.txt,237,390,159,1476819,no,none,yes,0.0139455,false
nos1.txt,237,390,159,1482026,no,none,yes,0.0139455,false
