graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
shl__400.txt,663,1709,250,5330856,no,none,yes,0.00778754,false
shl__400.txt,663,1709,246,5074318,no,none,yes,0.00778754,false
shl__400.txt,663,1709,244,5423614,no,none,yes,0.00778754,false
shl__400.txt,663,1709,248,5938387,no,none,yes,0.00778754,false
shl__400.txt,663,1709,251,6278543,no,none,yes,0.00778754,false
shl__400.txt,663,1709,250,5504770,no,none,yes,0.00778754,false
shl__400.txt,663,1709,252,5936203,no,none,yes,0.00778754,false
shl__400.txt,663,1709,245,5661279,no,none,yes,0.00778754,false
shl__400.txt,663,1709,249,6313383,no,none,yes,0.00778754,false
shl__400.txt,663,1709,242,6135573,no,none,yes,0.00778754,false
