graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
shl____0.txt,663,1682,241,28145402,no,none,yes,0.00766451,false
shl____0.txt,663,1682,243,28591199,no,none,yes,0.00766451,false
shl____0.txt,663,1682,248,29174111,no,none,yes,0.00766451,false
shl____0.txt,663,1682,241,31263786,no,none,yes,0.00766451,false
shl____0.txt,663,1682,233,31276560,no,none,yes,0.00766451,false
shl____0.txt,663,1682,234,31468804,no,none,yes,0.00766451,false
shl____0.txt,663,1682,232,31689230,no,none,yes,0.00766451,false
shl____0.txt,663,1682,227,32042682,no,none,yes,0.00766451,false
shl____0.txt,663,1682,238,8151748,no,none,yes,0.00766451,false
shl____0.txt,663,1682,240,9162828,no,none,yes,0.00766451,false
