graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
str__200.txt,363,3049,116,1919084,no,none,yes,0.0464058,false
str__200.txt,363,3049,118,2565780,no,none,yes,0.0464058,false
str__200.txt,363,3049,118,1866938,no,none,yes,0.0464058,false
str__200.txt,363,3049,122,2013881,no,none,yes,0.0464058,false
str__200.txt,363,3049,114,1832407,no,none,yes,0.0464058,false
str__200.txt,363,3049,120,2449890,no,none,yes,0.0464058,false
str__200.txt,363,3049,115,1876206,no,none,yes,0.0464058,false
str__200.txt,363,3049,122,1769073,no,none,yes,0.0464058,false
str__200.txt,363,3049,120,2580810,no,none,yes,0.0464058,false
str__200.txt,363,3049,117,1803425,no,none,yes,0.0464058,false
