graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
young3c.txt,841,1671,509,9525673,no,none,yes,0.00473076,false
young3c.txt,841,1671,506,9557723,no,none,yes,0.00473076,false
young3c.txt,841,1671,511,9819013,no,none,yes,0.00473076,false
young3c.txt,841,1671,511,9749013,no,none,yes,0.00473076,false
young3c.txt,841,1671,507,9569498,no,none,yes,0.00473076,false
young3c.txt,841,1671,506,9686687,no,none,yes,0.00473076,false
young3c.txt,841,1671,507,9637438,no,none,yes,0.00473076,false
young3c.txt,841,1671,500,9770387,no,none,yes,0.00473076,false
young3c.txt,841,1671,511,9746108,no,none,yes,0.00473076,false
young3c.txt,841,1671,509,9710571,no,none,yes,0.00473076,false
