graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
G10.txt,800,19176,84,9342179,no,none,yes,0.06,false
G10.txt,800,19176,85,7821444,no,none,yes,0.06,false
G10.txt,800,19176,86,7800800,no,none,yes,0.06,false
G10.txt,800,19176,82,10463759,no,none,yes,0.06,false
G10.txt,800,19176,87,7581268,no,none,yes,0.06,false
G10.txt,800,19176,85,8685665,no,none,yes,0.06,false
G10.txt,800,19176,84,8635019,no,none,yes,0.06,false
G10.txt,800,19176,85,8163662,no,none,yes,0.06,false
G10.txt,800,19176,87,9834455,no,none,yes,0.06,false
G10.txt,800,19176,83,8135322,no,none,yes,0.06,false
