graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density,is_dense
L.txt,956,1820,605,12246389,no,none,yes,0.00398694,false
L.txt,956,1820,612,11880387,no,none,yes,0.00398694,false
L.txt,956,1820,601,11833633,no,none,yes,0.00398694,false
L.txt,956,1820,599,11817041,no,none,yes,0.00398694,false
L.txt,956,1820,609,11957566,no,none,yes,0.00398694,false
L.txt,956,1820,597,12351244,no,none,yes,0.00398694,false
L.txt,956,1820,600,12075803,no,none,yes,0.00398694,false
L.txt,956,1820,604,12307737,no,none,yes,0.00398694,false
L.txt,956,1820,603,12297258,no,none,yes,0.00398694,false
L.txt,956,1820,608,12530891,no,none,yes,0.00398694,false
