graph_name,graph_order,graph_size,fitness_value,elapsed_time(microsecond),matches_heuristic,heuristic_matched,is_valid,density
S10PI_n.txt,682,689,641,47131177,no,none,yes,1
S10PI_n.txt,682,689,642,46987779,no,none,yes,1
S10PI_n.txt,682,689,642,47902210,no,none,yes,1
S10PI_n.txt,682,689,642,48324739,no,none,yes,1
S10PI_n.txt,682,689,642,47258054,no,none,yes,1
S10PI_n.txt,682,689,642,46727871,no,none,yes,1
S10PI_n.txt,682,689,642,50157238,no,none,yes,1
S10PI_n.txt,682,689,642,46824425,no,none,yes,1
S10PI_n.txt,682,689,642,48604814,no,none,yes,1
S10PI_n.txt,682,689,642,53525066,no,none,yes,1
