filename,vertex,edge,density,TRD_number,time(miliseconds),is_feasible,is_connected,number_of_components,status
662_bus.txt,662,906,0.00414,423.0,123553.00,True,True,0,OPTIMAL
add20.txt,2395,7462,0.00260,790.0,2579.00,True,True,0,OPTIMAL
ash292.txt,292,958,0.02255,102.0,301857.00,True,True,0,BEST FOUND
ash85.txt,85,219,0.06134,35.0,6643.00,True,True,0,OPTIMAL
bcspwr01.txt,39,46,0.06208,30.0,75.00,True,True,0,OPTIMAL
bcspwr02.txt,49,59,0.05017,33.0,45.00,True,True,0,OPTIMAL
bcspwr03.txt,118,179,0.02593,69.0,1046.00,True,True,0,OPTIMAL
bcspwr04.txt,274,669,0.01789,140.0,271.00,True,True,0,OPTIMAL
bcspwr05.txt,443,590,0.00603,293.0,9410.00,True,True,0,OPTIMAL
bcspwr06.txt,1454,1923,0.00182,950.0,302062.00,True,True,0,BEST FOUND
bcspwr07.txt,1612,2106,0.00162,1048.0,81451.00,True,True,0,OPTIMAL
bcsstk01.txt,48,176,0.15603,16.0,1363.00,True,True,0,OPTIMAL
bcsstk02.txt,66,2145,1.00000,3.0,210.00,True,True,0,OPTIMAL
bcsstk03.txt,112,264,0.04247,56.0,305099.00,True,False,2,BEST FOUND
bcsstk04.txt,132,1758,0.20333,16.0,5928.00,True,True,0,OPTIMAL
bp___200.txt,822,3788,0.01123,211.0,21196.00,True,True,0,OPTIMAL
bp___400.txt,822,4015,0.01190,203.0,21865.00,True,True,0,OPTIMAL
bp_____0.txt,822,3260,0.00966,246.0,12151.00,True,True,0,OPTIMAL
can__144.txt,144,576,0.05594,30.0,636.00,True,True,0,OPTIMAL
can__161.txt,161,608,0.04720,50.0,301543.00,True,True,0,BEST FOUND
can__187.txt,187,652,0.03749,62.0,301520.00,True,True,0,BEST FOUND
can__229.txt,229,774,0.02965,78.0,170063.00,True,True,0,OPTIMAL
can__256.txt,256,1330,0.04075,32.0,330.00,True,True,0,OPTIMAL
can___24.txt,24,68,0.24638,8.0,9.00,True,True,0,OPTIMAL
can___61.txt,61,248,0.13552,12.0,23.00,True,True,0,OPTIMAL
can___62.txt,62,78,0.04125,44.0,598.00,True,True,0,OPTIMAL
can___73.txt,73,152,0.05784,32.0,2443.00,True,True,0,OPTIMAL
can___96.txt,96,336,0.07368,32.0,226893.00,True,True,0,OPTIMAL
cavity01.txt,317,4237,0.08459,18.0,252.00,True,True,0,OPTIMAL
cavity02.txt,317,4237,0.08459,18.0,271.00,True,True,0,OPTIMAL
cavity03.txt,317,4237,0.08459,18.0,253.00,True,True,0,OPTIMAL
cavity04.txt,317,4237,0.08459,18.0,276.00,True,True,0,OPTIMAL
cdde1.txt,961,1860,0.00403,562.0,301137.00,True,True,0,BEST FOUND
cdde2.txt,961,1860,0.00403,562.0,300886.00,True,True,0,BEST FOUND
cdde3.txt,961,1860,0.00403,562.0,300997.00,True,True,0,BEST FOUND
cdde4.txt,961,1860,0.00403,562.0,301066.00,True,True,0,BEST FOUND
cdde5.txt,961,1860,0.00403,562.0,300942.00,True,True,0,BEST FOUND
cdde6.txt,961,1860,0.00403,562.0,300649.00,True,True,0,BEST FOUND
ck104.txt,104,444,0.08290,30.0,121620.00,True,False,2,OPTIMAL
ck400.txt,400,1244,0.01559,202.0,301774.00,True,False,2,BEST FOUND
ck656.txt,656,1628,0.00758,407.0,300929.00,True,False,2,BEST FOUND
curtis54.txt,54,124,0.08665,23.0,82.00,True,True,0,OPTIMAL
dwt__162.txt,162,510,0.03911,59.0,27288.00,True,True,0,OPTIMAL
dwt__193.txt,193,1650,0.08905,27.0,856.00,True,True,0,OPTIMAL
dwt__198.txt,198,597,0.03061,74.0,16573.00,True,False,6,OPTIMAL
dwt__209.txt,209,767,0.03529,68.0,302052.00,True,True,0,BEST FOUND
dwt__221.txt,221,704,0.02896,75.0,302539.00,True,True,0,BEST FOUND
dwt__234.txt,234,300,0.01100,148.0,5037.00,True,False,7,OPTIMAL
dwt__245.txt,245,608,0.02034,119.0,33611.00,True,True,0,OPTIMAL
dwt__310.txt,310,1069,0.02232,108.0,301524.00,True,True,0,BEST FOUND
dwt__346.txt,346,1440,0.02413,127.0,301610.00,True,False,4,BEST FOUND
dwt__361.txt,361,1296,0.01994,129.0,300940.00,True,True,0,BEST FOUND
dwt__419.txt,419,1572,0.01795,127.0,301292.00,True,True,0,BEST FOUND
dwt__492.txt,492,1332,0.01103,198.0,301463.00,True,False,2,BEST FOUND
dwt__503.txt,503,2762,0.02188,127.0,301146.00,True,True,0,BEST FOUND
dwt__918.txt,918,3233,0.00768,305.0,300893.00,True,True,0,BEST FOUND
dwt__992.txt,992,7876,0.01602,175.0,301324.00,True,True,0,BEST FOUND
dwt___59.txt,59,104,0.06078,34.0,1256.00,True,True,0,OPTIMAL
dwt___66.txt,66,127,0.05921,37.0,12951.00,True,True,0,OPTIMAL
dwt___72.txt,72,75,0.02934,62.0,1961.00,True,True,0,OPTIMAL
dwt___87.txt,87,227,0.06068,38.0,1268.00,True,True,0,OPTIMAL
e05r0000.txt,236,2847,0.10267,18.0,156.00,True,True,0,OPTIMAL
e05r0100.txt,236,2847,0.10267,18.0,158.00,True,True,0,OPTIMAL
e05r0200.txt,236,2847,0.10267,18.0,151.00,True,True,0,OPTIMAL
e05r0300.txt,236,2847,0.10267,18.0,149.00,True,True,0,OPTIMAL
e05r0400.txt,236,2847,0.10267,18.0,163.00,True,True,0,OPTIMAL
eris1176.txt,1176,8688,0.01257,552.0,302289.00,True,False,2,BEST FOUND
fidap001.txt,216,2079,0.08953,24.0,1163.00,True,True,0,OPTIMAL
fidap002.txt,441,13195,0.13600,14.0,2417.00,True,True,0,OPTIMAL
fidap003.txt,1821,25419,0.01534,148.0,303449.00,True,True,0,BEST FOUND
fidap004.txt,1601,15343,0.01198,175.0,302447.00,True,True,0,BEST FOUND
fidap005.txt,27,126,0.35897,7.0,36.00,True,True,0,OPTIMAL
fidap012.txt,3973,38089,0.00483,467.0,308743.00,True,True,0,BEST FOUND
fidap013.txt,2568,36530,0.01108,203.0,305363.00,True,True,0,BEST FOUND
fidap014.txt,3251,31698,0.00600,363.0,305701.00,True,True,0,BEST FOUND
fidap024.txt,2283,23225,0.00892,240.0,303229.00,True,True,0,BEST FOUND
fidap028.txt,2603,37525,0.01108,156.0,305509.00,True,True,0,BEST FOUND
fidap031.txt,3909,55695,0.00729,366.0,310567.00,True,True,0,BEST FOUND
fidapm02.txt,537,9352,0.06498,41.0,1536.00,True,True,0,OPTIMAL
fidapm03.txt,2532,23924,0.00747,292.0,303835.00,True,True,0,BEST FOUND
fidapm10.txt,3046,25398,0.00548,400.0,304343.00,True,False,2,BEST FOUND
fs_183_1.txt,183,701,0.04209,36.0,98.00,True,True,0,OPTIMAL
fs_183_3.txt,183,701,0.04209,36.0,95.00,True,True,0,OPTIMAL
fs_183_4.txt,183,701,0.04209,36.0,94.00,True,True,0,OPTIMAL
fs_183_6.txt,183,701,0.04209,36.0,94.00,True,True,0,OPTIMAL
fs_541_1.txt,541,2466,0.01688,3.0,298.00,True,True,0,OPTIMAL
fs_541_2.txt,541,2466,0.01688,3.0,294.00,True,True,0,OPTIMAL
fs_541_3.txt,541,2466,0.01688,3.0,292.00,True,True,0,OPTIMAL
fs_541_4.txt,541,2466,0.01688,3.0,301.00,True,True,0,OPTIMAL
fs_680_1.txt,680,1464,0.00634,322.0,336.00,True,True,0,OPTIMAL
fs_680_2.txt,680,1464,0.00634,322.0,351.00,True,True,0,OPTIMAL
fs_680_3.txt,680,1464,0.00634,322.0,324.00,True,True,0,OPTIMAL
fs_760_1.txt,760,3518,0.01220,173.0,300955.00,True,True,0,BEST FOUND
fs_760_2.txt,760,3518,0.01220,173.0,300939.00,True,True,0,BEST FOUND
gr_30_30.txt,900,3422,0.00846,315.0,300746.00,True,True,0,BEST FOUND
gre_1107.txt,1107,4557,0.00744,404.0,300937.00,True,True,0,BEST FOUND
gre_216a.txt,216,660,0.02842,84.0,301012.00,True,True,0,BEST FOUND
gre_216b.txt,216,660,0.02842,84.0,300983.00,True,True,0,BEST FOUND
gre__115.txt,115,267,0.04073,54.0,86432.00,True,True,0,OPTIMAL
gre__185.txt,185,650,0.03819,68.0,301226.00,True,True,0,BEST FOUND
gre__343.txt,343,1092,0.01862,131.0,300716.00,True,True,0,BEST FOUND
gre__512.txt,512,1680,0.01284,194.0,300623.00,True,True,0,BEST FOUND
hor__131.txt,434,2138,0.02275,118.0,300983.00,True,True,0,BEST FOUND
